y     const   x1    x2
1.000 1.000 3.700 0.825
1.000 1.000 3.500 1.090
1.000 1.000 1.250 2.500
1.000 1.000 0.750 1.500
1.000 1.000 0.800 3.200
1.000 1.000 0.700 3.500
0.000 1.000 0.600 0.750
0.000 1.000 1.100 1.700
0.000 1.000 0.900 0.750
0.000 1.000 0.900 0.450
0.000 1.000 0.800 0.570
0.000 1.000 0.550 2.750
0.000 1.000 0.600 3.000
1.000 1.000 1.400 2.330
1.000 1.000 0.750 3.750
1.000 1.000 2.300 1.640
1.000 1.000 3.200 1.600
1.000 1.000 0.850 1.415
0.000 1.000 1.700 1.060
1.000 1.000 1.800 1.800
0.000 1.000 0.400 2.000
0.000 1.000 0.950 1.360
0.000 1.000 1.350 1.350
0.000 1.000 1.500 1.360
1.000 1.000 1.600 1.780
0.000 1.000 0.600 1.500
1.000 1.000 1.800 1.500
0.000 1.000 0.950 1.900
1.000 1.000 1.900 0.950
0.000 1.000 1.600 0.400
1.000 1.000 2.700 0.750
0.000 1.000 2.350 0.030
0.000 1.000 1.100 1.830
1.000 1.000 1.100 2.200
1.000 1.000 1.200 2.000
1.000 1.000 0.800 3.330
0.000 1.000 0.950 1.900
0.000 1.000 0.750 1.900
1.000 1.000 1.300 1.625
