   Work            Constant        HusbandInc      EducYears       ExpYears         ExpYears2         Age           NSmallChild      NBigChild
   1.0000000e+00   1.0000000e+00   2.2394940e+01   1.2000000e+01   7.0000000e+00   4.9000000e-01   4.3000000e+01   0.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   7.2320000e+00   8.0000000e+00   1.0000000e+01   1.0000000e+00   3.4000000e+01   0.0000000e+00   7.0000000e+00
   1.0000000e+00   1.0000000e+00   1.8271990e+01   1.2000000e+01   4.0000000e+00   1.6000000e-01   4.1000000e+01   1.0000000e+00   5.0000000e+00
   0.0000000e+00   1.0000000e+00   2.8069000e+01   1.4000000e+01   2.0000000e+00   4.0000000e-02   4.3000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   2.3800000e+01   1.2000000e+01   2.4000000e+01   5.7600000e+00   4.5000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   9.6000000e+01   1.7000000e+01   1.0000000e+00   1.0000000e-02   3.4000000e+01   1.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   3.7300000e+01   1.2000000e+01   1.3000000e+01   1.6900000e+00   4.5000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   2.1768000e+01   1.4000000e+01   1.5000000e+01   2.2500000e+00   3.6000000e+01   1.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   7.7998890e+00   1.2000000e+01   1.0000000e+01   1.0000000e+00   3.1000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   2.8630000e+01   1.6000000e+01   6.0000000e+00   3.6000000e-01   3.7000000e+01   0.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   2.2800000e+01   1.2000000e+01   1.2000000e+01   1.4400000e+00   3.0000000e+01   1.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7201020e+01   1.2000000e+01   1.9000000e+01   3.6100000e+00   3.8000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.3075000e+01   1.2000000e+01   1.7000000e+01   2.8900000e+00   4.3000000e+01   1.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   6.0000000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   3.5000000e+01   1.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   1.6050000e+01   1.7000000e+01   1.0000000e+01   1.0000000e+00   3.0000000e+01   2.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.3300080e+01   1.2000000e+01   1.9000000e+01   3.6100000e+00   5.4000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.3150000e+01   1.2000000e+01   8.0000000e+00   6.4000000e-01   4.0000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.0500080e+01   1.3000000e+01   3.6000000e+01   1.2960000e+01   5.9000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.5700000e+01   1.2000000e+01   9.0000000e+00   8.1000000e-01   4.7000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   2.1100000e+01   1.2000000e+01   2.0000000e+01   4.0000000e+00   4.7000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.1550000e+01   1.2000000e+01   7.0000000e+00   4.9000000e-01   3.2000000e+01   1.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   6.3400000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   5.7000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.0550000e+01   1.2000000e+01   0.0000000e+00   0.0000000e+00   5.6000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.5000060e+01   1.0000000e+01   1.3000000e+01   1.6900000e+00   4.3000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.8194990e+01   1.2000000e+01   1.4000000e+01   1.9600000e+00   4.3000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   8.1000000e+00   1.2000000e+01   7.0000000e+00   4.9000000e-01   3.0000000e+01   1.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   2.5999920e+01   1.3000000e+01   1.5000000e+01   2.2500000e+00   3.4000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   2.3500000e+01   1.6000000e+01   7.0000000e+00   4.9000000e-01   3.5000000e+01   1.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   2.2299930e+01   1.0000000e+01   8.0000000e+00   6.4000000e-01   4.7000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   2.0883000e+01   1.6000000e+01   8.0000000e+00   6.4000000e-01   4.4000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   4.4000040e+01   1.4000000e+01   1.5000000e+01   2.2500000e+00   4.6000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7200000e+01   1.6000000e+01   8.0000000e+00   6.4000000e-01   3.4000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7900000e+01   1.2000000e+01   6.0000000e+00   3.6000000e-01   4.0000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   7.0400000e+00   9.0000000e+00   0.0000000e+00   0.0000000e+00   3.4000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   3.4600010e+01   1.3000000e+01   1.9000000e+01   3.6100000e+00   5.4000000e+01   0.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   9.0900000e+00   1.2000000e+01   1.0000000e+00   1.0000000e-02   3.6000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   2.0528000e+01   9.0000000e+00   0.0000000e+00   0.0000000e+00   3.6000000e+01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   3.0750060e+01   1.0000000e+01   2.7000000e+01   7.2900000e+00   4.8000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.8219950e+01   1.6000000e+01   1.6000000e+01   2.5600000e+00   5.4000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   8.1170000e+00   1.2000000e+01   1.8000000e+01   3.2400000e+00   5.1000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   3.2025020e+01   1.7000000e+01   1.0000000e+01   1.0000000e+00   3.8000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   2.1417000e+01   1.2000000e+01   7.0000000e+00   4.9000000e-01   4.4000000e+01   0.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   1.4694000e+01   1.2000000e+01   3.0000000e+00   9.0000000e-02   3.0000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   5.2499950e+01   1.3000000e+01   2.5000000e+01   6.2500000e+00   4.5000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   2.7199990e+01   9.0000000e+00   1.1000000e+01   1.2100000e+00   5.3000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.0700070e+01   1.2000000e+01   2.1000000e+01   4.4100000e+00   5.1000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.9499980e+01   1.2000000e+01   5.0000000e+00   2.5000000e-01   3.0000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   3.1200000e+01   1.3000000e+01   4.0000000e+00   1.6000000e-01   3.3000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   9.0480260e+00   9.0000000e+00   1.0000000e+00   1.0000000e-02   3.4000000e+01   0.0000000e+00   4.0000000e+00
   0.0000000e+00   1.0000000e+00   1.6600000e+01   1.2000000e+01   8.0000000e+00   6.4000000e-01   3.2000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   2.8039940e+01   1.2000000e+01   1.9000000e+01   3.6100000e+00   3.7000000e+01   0.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   6.3200000e+01   1.6000000e+01   2.2000000e+01   4.8400000e+00   5.0000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.3675060e+01   1.6000000e+01   4.0000000e+00   1.6000000e-01   4.5000000e+01   0.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   2.3500000e+01   1.2000000e+01   5.0000000e+00   2.5000000e-01   3.3000000e+01   1.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7150000e+01   1.2000000e+01   2.0000000e+00   4.0000000e-02   3.2000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   2.2500000e+01   1.6000000e+01   6.0000000e+00   3.6000000e-01   3.1000000e+01   1.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   2.1950000e+01   1.2000000e+01   0.0000000e+00   0.0000000e+00   4.5000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   3.7250000e+01   1.7000000e+01   4.0000000e+00   1.6000000e-01   3.8000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   1.8520000e+01   1.2000000e+01   7.0000000e+00   4.9000000e-01   3.3000000e+01   2.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.3668020e+01   1.1000000e+01   9.0000000e+00   8.1000000e-01   3.9000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.1099920e+01   1.2000000e+01   1.9000000e+01   3.6100000e+00   3.6000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   2.8363000e+01   9.0000000e+00   1.2000000e+01   1.4400000e+00   3.9000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   1.2999960e+01   1.5000000e+01   1.6000000e+01   2.5600000e+00   4.5000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.4699990e+01   1.2000000e+01   1.6000000e+01   2.5600000e+00   4.7000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   2.0950050e+01   1.7000000e+01   2.9000000e+01   8.4100000e+00   5.4000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   1.8150000e+01   1.2000000e+01   3.0000000e+00   9.0000000e-02   4.9000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.1000000e+01   7.0000000e+00   2.0000000e+00   4.0000000e-02   4.9000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7090000e+01   1.2000000e+01   1.1000000e+01   1.2100000e+00   3.3000000e+01   2.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.9237000e+01   1.2000000e+01   2.3000000e+01   5.2900000e+00   5.2000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   2.0000000e+01   1.5000000e+01   6.0000000e+00   3.6000000e-01   5.4000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.8200000e+01   1.2000000e+01   1.0000000e+00   1.0000000e-02   4.7000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   2.5089990e+01   1.7000000e+01   8.0000000e+00   6.4000000e-01   4.0000000e+01   1.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   7.0749930e+01   1.6000000e+01   1.1000000e+01   1.2100000e+00   4.8000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   3.3856000e+01   1.4000000e+01   1.0000000e+01   1.0000000e+00   5.4000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.3350000e+01   1.2000000e+01   1.0000000e+01   1.0000000e+00   4.7000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.5590880e+01   1.0000000e+01   1.0000000e+01   1.0000000e+00   3.0000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.3294970e+01   1.2000000e+01   1.8000000e+01   3.2400000e+00   4.7000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   2.8900000e+01   1.6000000e+01   8.0000000e+00   6.4000000e-01   4.8000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   6.4908400e+00   1.6000000e+01   2.5000000e+01   6.2500000e+00   5.4000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.0600000e+01   1.4000000e+01   1.2000000e+01   1.4400000e+00   3.0000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.7410000e+01   9.0000000e+00   1.0000000e+01   1.0000000e+00   3.7000000e+01   1.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   1.4500000e+01   1.2000000e+01   8.0000000e+00   6.4000000e-01   3.2000000e+01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.6141950e+01   1.6000000e+01   1.1000000e+01   1.2100000e+00   5.4000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   3.4857000e+01   1.2000000e+01   3.0000000e+00   9.0000000e-02   5.4000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   6.0000000e+00   1.2000000e+01   5.0000000e+00   2.5000000e-01   3.6000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   2.6000000e+01   1.6000000e+01   3.1000000e+01   9.6100000e+00   5.9000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.8199980e+01   1.0000000e+01   2.0000000e+00   4.0000000e-02   3.6000000e+01   0.0000000e+00   5.0000000e+00
   1.0000000e+00   1.0000000e+00   9.0200080e+00   1.0000000e+01   1.0000000e+00   1.0000000e-02   3.2000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   2.5100000e+01   1.2000000e+01   0.0000000e+00   0.0000000e+00   3.0000000e+01   1.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   4.5250000e+01   1.4000000e+01   7.0000000e+00   4.9000000e-01   3.1000000e+01   1.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7020050e+01   1.5000000e+01   1.1000000e+01   1.2100000e+00   3.3000000e+01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7774000e+01   1.2000000e+01   9.0000000e+00   8.1000000e-01   4.5000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   1.5500000e+01   1.2000000e+01   1.1000000e+01   1.2100000e+00   3.4000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.2000000e+01   1.2000000e+01   1.0000000e+00   1.0000000e-02   3.0000000e+01   0.0000000e+00   3.0000000e+00
   0.0000000e+00   1.0000000e+00   8.0000000e+00   1.2000000e+01   1.0000000e+00   1.0000000e-02   4.9000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.5050000e+01   1.1000000e+01   4.0000000e+00   1.6000000e-01   3.2000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   1.0592000e+01   8.0000000e+00   2.0000000e+00   4.0000000e-02   5.8000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.6090080e+01   1.2000000e+01   1.4000000e+01   1.9600000e+00   4.7000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   3.4000000e+01   1.2000000e+01   8.0000000e+00   6.4000000e-01   3.7000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   1.2092000e+01   1.2000000e+01   3.0000000e+00   9.0000000e-02   3.1000000e+01   1.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.4000010e+01   1.2000000e+01   1.6000000e+01   2.5600000e+00   3.4000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   2.4700000e+01   1.4000000e+01   6.0000000e+00   3.6000000e-01   5.6000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   2.2846000e+01   1.2000000e+01   9.0000000e+00   8.1000000e-01   3.6000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   1.4000000e+01   1.2000000e+01   2.5000000e+01   6.2500000e+00   4.3000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   6.0160240e+00   1.3000000e+01   1.1000000e+01   1.2100000e+00   4.9000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   1.2100000e+01   1.2000000e+01   9.0000000e+00   8.1000000e-01   3.0000000e+01   2.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   2.3260000e+01   1.2000000e+01   4.0000000e+00   1.6000000e-01   4.6000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   5.1000000e+01   1.6000000e+01   1.0000000e+00   1.0000000e-02   4.1000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   1.8400000e+01   1.0000000e+01   0.0000000e+00   0.0000000e+00   4.2000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   1.2824940e+01   1.2000000e+01   2.2000000e+01   4.8400000e+00   4.5000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   4.6645060e+01   1.2000000e+01   1.2000000e+01   1.4400000e+00   4.7000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   3.1700000e+01   1.3000000e+01   6.0000000e+00   3.6000000e-01   4.2000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   1.2090000e+01   8.0000000e+00   1.0000000e+00   1.0000000e-02   5.1000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.7505000e+01   1.2000000e+01   2.4000000e+01   5.7600000e+00   5.3000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   9.5600000e+00   1.2000000e+01   1.5000000e+01   2.2500000e+00   4.5000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   4.1399910e+01   1.6000000e+01   9.0000000e+00   8.1000000e-01   4.7000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   1.0040000e+01   7.0000000e+00   2.0000000e+01   4.0000000e+00   5.4000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.3392000e+01   7.0000000e+00   1.3000000e+01   1.6900000e+00   4.8000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   1.9800000e+01   1.7000000e+01   7.0000000e+00   4.9000000e-01   3.4000000e+01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   2.7999950e+01   1.2000000e+01   2.3000000e+01   5.2900000e+00   4.6000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   2.8800000e+01   1.2000000e+01   2.4000000e+01   5.7600000e+00   5.2000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.0499980e+01   8.0000000e+00   1.1000000e+01   1.2100000e+00   4.8000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   8.6300000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   4.9000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   9.5000000e+00   8.0000000e+00   1.7000000e+01   2.8900000e+00   5.2000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.1225000e+01   1.2000000e+01   0.0000000e+00   0.0000000e+00   5.0000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.3399000e+01   1.2000000e+01   8.0000000e+00   6.4000000e-01   4.9000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   9.4660400e+00   1.3000000e+01   2.0000000e+00   4.0000000e-02   3.1000000e+01   0.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   1.4450000e+01   1.2000000e+01   1.8000000e+01   3.2400000e+00   5.4000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   9.9999800e+00   1.1000000e+01   4.0000000e+00   1.6000000e-01   3.7000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   1.0999980e+01   1.4000000e+01   1.1000000e+01   1.2100000e+00   3.2000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.3731910e+01   1.2000000e+01   2.7000000e+01   7.2900000e+00   5.1000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.3700000e+01   1.4000000e+01   1.2000000e+01   1.4400000e+00   3.0000000e+01   2.0000000e+00   1.0000000e+00
   0.0000000e+00   1.0000000e+00   2.0300000e+01   1.2000000e+01   5.0000000e+00   2.5000000e-01   4.4000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   6.7999960e+00   1.2000000e+01   6.0000000e+00   3.6000000e-01   3.4000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   1.2708970e+01   1.1000000e+01   1.9000000e+01   3.6100000e+00   3.7000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   1.7479000e+01   1.3000000e+01   1.8000000e+01   3.2400000e+00   4.8000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.9500050e+01   1.7000000e+01   2.8000000e+01   7.8400000e+00   4.9000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   1.5825000e+01   9.0000000e+00   3.0000000e+00   9.0000000e-02   4.2000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   1.8499950e+01   1.2000000e+01   1.4000000e+01   1.9600000e+00   3.2000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   1.9205000e+01   1.2000000e+01   1.0000000e+01   1.0000000e+00   3.4000000e+01   0.0000000e+00   2.0000000e+00
   0.0000000e+00   1.0000000e+00   2.1014000e+01   1.2000000e+01   6.0000000e+00   3.6000000e-01   5.1000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   3.3049970e+01   1.7000000e+01   1.2000000e+01   1.4400000e+00   5.0000000e+01   0.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   1.4400000e+01   1.6000000e+01   1.4000000e+01   1.9600000e+00   4.3000000e+01   1.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   9.6450860e+00   1.1000000e+01   2.0000000e+00   4.0000000e-02   4.1000000e+01   0.0000000e+00   2.0000000e+00
   1.0000000e+00   1.0000000e+00   1.3871960e+01   7.0000000e+00   1.5000000e+01   2.2500000e+00   4.3000000e+01   0.0000000e+00   3.0000000e+00
   1.0000000e+00   1.0000000e+00   9.6200020e+00   1.1000000e+01   2.3000000e+01   5.2900000e+00   4.1000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   3.2349960e+01   1.2000000e+01   6.0000000e+00   3.6000000e-01   5.8000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   1.0000000e+00   8.2749530e+00   1.2000000e+01   4.0000000e+00   1.6000000e-01   3.1000000e+01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   1.0000000e+00   3.6709780e+00   1.2000000e+01   2.6000000e+01   6.7600000e+00   5.2000000e+01   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   5.0300000e+01   1.5000000e+01   1.0000000e+00   1.0000000e-02   3.2000000e+01   1.0000000e+00   1.0000000e+00
