    nBids      Const  PowerSeller  VerifyID  Sealed   Minblem   MajBlem  LargNeg  LogBook    MinBidShare
    2.0000    1.0000         0         0         0         0         0         0   -0.2237   -0.2088
    6.0000    1.0000    1.0000         0         0         0         0         0    0.6073   -0.3478
    1.0000    1.0000    1.0000         0         0         0         0         0    0.0332    0.4423
    1.0000    1.0000         0         0         0    1.0000         0         0    0.3755    0.1441
    4.0000    1.0000         0         0         0         0         0    1.0000    1.4347   -0.4104
    2.0000    1.0000         0         0         0         0         0         0   -0.9142    0.6318
    2.0000    1.0000         0         0         0    1.0000         0         0   -0.2477    0.2953
    2.0000    1.0000         0         0         0         0         0         0   -0.9142    0.6318
    2.0000    1.0000    1.0000         0         0         0         0         0    0.5108    0.0550
    6.0000    1.0000         0         0    1.0000         0         0         0   -0.3621    0.0247
         0    1.0000    1.0000         0         0         0         0         0   -0.2237    0.4767
    3.0000    1.0000         0         0         0    1.0000         0    1.0000   -0.4574   -0.2124
    5.0000    1.0000         0         0         0         0         0         0    0.8863   -0.5257
    3.0000    1.0000         0         0         0         0         0         0    0.3755   -0.4041
    1.0000    1.0000    1.0000         0         0         0         0         0    0.0732    0.1278
    5.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.3207
    2.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.3207
    8.0000    1.0000    1.0000         0    1.0000         0         0         0    0.9205   -0.3273
    5.0000    1.0000    1.0000         0    1.0000         0         0         0    0.2189   -0.0726
    7.0000    1.0000    1.0000         0    1.0000         0         0         0    0.8863   -0.3186
    5.0000    1.0000    1.0000         0    1.0000         0         0         0    0.2189   -0.0726
    3.0000    1.0000    1.0000         0    1.0000         0         0         0   -0.0520    0.0845
    6.0000    1.0000         0         0         0         0         0    1.0000    1.9993   -0.5337
    3.0000    1.0000         0         0         0         0         0         0    0.7365    0.2605
         0    1.0000         0         0         0         0         0         0    0.0332    0.9407
    1.0000    1.0000         0         0         0         0         0         0   -1.0254    0.6564
    2.0000    1.0000         0         0         0         0         0         0   -1.1506    0.5543
    7.0000    1.0000         0         0         0         0         0         0    1.0758   -0.4843
    7.0000    1.0000         0         0         0         0         0         0    1.4347   -0.5125
    6.0000    1.0000         0         0         0         0    1.0000         0    0.5108   -0.4134
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.6398    0.7415
    6.0000    1.0000         0         0         0         0         0         0    0.7365   -0.4375
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.6398   -0.1385
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.5976
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.4739
         0    1.0000         0         0         0         0         0         0    0.0332    0.4835
    6.0000    1.0000    1.0000         0         0         0         0         0   -0.6398   -0.1385
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.1723   -0.3025
    1.0000    1.0000         0         0         0         0         0         0   -0.5628    0.4956
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.8141    0.3737
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.4608    0.3186
    3.0000    1.0000    1.0000         0         0         0         0         0   -1.0254   -0.0506
    1.0000    1.0000         0         0         0         0         0         0   -0.7231    0.5954
         0    1.0000         0         0         0         0         0         0   -0.3033    0.9046
         0    1.0000         0         0         0         0         0         0    0.0332    0.4427
         0    1.0000         0         0         0         0         0         0    0.0332    1.0509
    2.0000    1.0000         0         0         0         0    1.0000         0   -0.0767   -0.2615
    3.0000    1.0000         0         0         0         0    1.0000         0   -0.2477   -0.2025
    3.0000    1.0000         0         0         0         0         0         0   -0.6398   -0.2585
    9.0000    1.0000         0         0         0         0         0         0    0.3755   -0.3896
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.0520   -0.0044
    6.0000    1.0000         0         0         0         0         0         0    0.3755   -0.1432
    6.0000    1.0000         0         0         0         0         0    1.0000    1.9993   -0.5337
    1.0000    1.0000         0         0         0         0         0         0    0.2340   -0.1119
    2.0000    1.0000         0         0         0         0         0         0   -0.6044    0.5026
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.8141   -0.0072
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.0568
    5.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.1270
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.0568
    3.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.1270
    3.0000    1.0000    1.0000         0         0    1.0000         0         0   -1.0923    0.1758
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.0528
    4.0000    1.0000         0         0         0         0         0         0    0.4040   -0.1554
    1.0000    1.0000    1.0000         0         0         0         0         0    0.5108    0.5556
    4.0000    1.0000    1.0000    1.0000         0         0         0         0    0.9205   -0.4940
    6.0000    1.0000         0         0         0         0         0    1.0000    0.6740   -0.4381
         0    1.0000    1.0000         0         0         0         0         0    0.1487    0.6950
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.5517
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.5276
    7.0000    1.0000         0         0         0         0         0         0    0.4040   -0.3244
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.5065
    1.0000    1.0000    1.0000         0         0         0         0         0   -0.5628    0.3927
    5.0000    1.0000         0         0         0         0         0         0    0.4040   -0.4153
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.8141   -0.0072
         0    1.0000    1.0000         0         0    1.0000         0         0    2.8247    0.1852
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.0568
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.8141   -0.0072
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.1270
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.1270
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.0568
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.1270
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.0923    0.1758
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.0528
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9738    0.0916
         0    1.0000    1.0000         0         0         0         0         0    2.8247    0.1635
         0    1.0000    1.0000         0         0         0         0         0    0.0332    0.6019
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.6398   -0.0985
    5.0000    1.0000    1.0000         0         0         0    1.0000         0   -0.0767   -0.3508
    4.0000    1.0000         0         0         0         0         0         0    0.5108   -0.4318
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.0568
    1.0000    1.0000    1.0000         0         0    1.0000         0         0   -1.0254    0.1270
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.9142    0.0528
    6.0000    1.0000         0         0         0         0         0         0    0.5108   -0.4318
    5.0000    1.0000    1.0000         0         0         0         0         0   -0.3033   -0.2640
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.0923    0.6789
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.4608    0.3521
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.1506    0.7543
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.5976
    1.0000    1.0000    1.0000         0         0         0         0         0    0.5108    0.5337
         0    1.0000    1.0000         0         0         0         0         0    0.5108    0.5347
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.0520    0.0863
         0    1.0000    1.0000         0         0         0         0         0    0.3755    0.4629
    1.0000    1.0000    1.0000         0         0    1.0000         0         0   -0.2477    0.2953
    6.0000    1.0000    1.0000         0         0         0         0         0    1.0758   -0.4634
    9.0000    1.0000         0         0         0         0         0    1.0000    1.4347   -0.5049
    2.0000    1.0000         0         0         0         0    1.0000         0    0.4040   -0.1568
    1.0000    1.0000         0         0    1.0000         0         0         0   -0.3621    0.4193
    4.0000    1.0000         0         0    1.0000         0         0         0   -0.3621    0.4193
    8.0000    1.0000         0         0         0         0         0         0    0.9205   -0.3760
    1.0000    1.0000         0         0    1.0000         0         0         0   -0.3033    0.3623
    6.0000    1.0000         0         0         0         0         0         0    0.7455   -0.3184
    6.0000    1.0000         0         0         0         0         0         0    0.5108   -0.3627
         0    1.0000         0         0         0         0         0         0    0.0332    0.4244
    3.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.3207
    4.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.3207
    4.0000    1.0000         0         0         0         0         0         0   -0.4574   -0.2950
    5.0000    1.0000    1.0000         0    1.0000         0         0         0    0.2189   -0.0726
    6.0000    1.0000    1.0000         0    1.0000         0         0         0    0.8863   -0.3186
    4.0000    1.0000    1.0000         0    1.0000         0         0         0    0.2189   -0.0726
    5.0000    1.0000    1.0000         0    1.0000         0         0         0   -0.0520    0.0845
    4.0000    1.0000    1.0000         0    1.0000         0         0         0   -0.3621    0.3253
    5.0000    1.0000    1.0000         0    1.0000         0         0         0   -0.3621    0.3253
    5.0000    1.0000    1.0000         0    1.0000         0         0         0   -0.3033    0.2737
    3.0000    1.0000    1.0000         0    1.0000         0         0         0   -0.3621    0.3253
    2.0000    1.0000         0         0    1.0000         0         0         0   -0.3621    0.2672
    6.0000    1.0000         0         0         0         0         0         0    0.0332   -0.2312
    5.0000    1.0000         0         0         0         0         0         0   -0.8141   -0.1977
    4.0000    1.0000         0         0         0         0         0         0    1.1181   -0.5226
    4.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.3359
    4.0000    1.0000         0         0         0         0         0         0   -1.0254   -0.1094
    6.0000    1.0000         0         0         0         0    1.0000         0    0.3755   -0.1754
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.0520   -0.1332
    7.0000    1.0000         0         0         0         0         0         0    0.9205   -0.4436
    6.0000    1.0000         0         0         0         0         0         0    0.4040   -0.1551
    4.0000    1.0000    1.0000         0         0         0         0         0    0.3295   -0.1558
    6.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
    1.0000    1.0000         0         0         0         0         0         0   -0.2477    0.6061
    1.0000    1.0000    1.0000         0         0         0         0         0    0.0332    0.6019
    7.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
         0    1.0000         0         0         0         0         0    1.0000   -0.3621    0.7544
         0    1.0000    1.0000         0         0         0         0         0    0.0332    0.2382
    5.0000    1.0000         0         0         0         0         0    1.0000    0.6073   -0.4009
    7.0000    1.0000         0         0         0         0         0         0    0.5108   -0.4514
    6.0000    1.0000    1.0000         0         0         0         0         0   -0.2237   -0.2616
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.0520   -0.3651
    3.0000    1.0000         0         0         0         0         0         0   -1.0254    0.2435
    6.0000    1.0000         0         0         0         0         0         0    0.5108   -0.2045
         0    1.0000         0         0         0         0         0         0    0.4040    0.5885
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.5628   -0.1710
    1.0000    1.0000    1.0000         0         0         0         0         0   -1.0923    0.6789
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.7231    0.2910
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.3621   -0.2450
    2.0000    1.0000    1.0000         0         0         0         0         0   -1.0254    0.5976
    1.0000    1.0000    1.0000         0         0         0         0         0    0.4852    0.0769
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.3033    0.4337
    2.0000    1.0000    1.0000         0         0         0         0         0    0.6740    0.1040
    3.0000    1.0000    1.0000         0         0         0         0         0    0.6740    0.0503
    2.0000    1.0000    1.0000         0         0         0         0         0    1.1181    0.1699
    5.0000    1.0000         0         0         0         0         0    1.0000    0.5108   -0.3830
         0    1.0000    1.0000    1.0000         0         0         0         0    0.1487    0.4732
    7.0000    1.0000         0         0         0         0         0         0    0.7455   -0.4578
    6.0000    1.0000         0         0         0         0         0    1.0000    0.6073   -0.4009
    3.0000    1.0000         0         0         0         0         0         0    0.5108   -0.0308
    2.0000    1.0000         0         0         0         0         0         0    0.0332    0.0035
    8.0000    1.0000         0         0         0         0         0    1.0000    0.9205   -0.4484
    5.0000    1.0000         0         0         0         0         0         0    0.9205    0.1215
    4.0000    1.0000         0         0         0         0         0         0    1.0758   -0.0511
         0    1.0000    1.0000         0         0         0         0         0    0.0332    0.2586
    6.0000    1.0000         0         0         0         0         0         0    0.1487   -0.0330
    4.0000    1.0000         0         0         0         0         0    1.0000    1.9993   -0.5337
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.7231   -0.0568
    2.0000    1.0000         0         0         0         0         0         0   -1.0254    0.2435
    2.0000    1.0000    1.0000         0         0         0         0         0   -0.8141   -0.0072
    3.0000    1.0000    1.0000         0         0         0         0         0   -0.9738    0.0916
    2.0000    1.0000    1.0000         0         0    1.0000         0         0   -1.0923    0.1758
    2.0000    1.0000         0         0         0         0         0         0   -1.0254    0.0282
   12.0000    1.0000    1.0000         0         0         0         0         0   -0.3621   -0.3668
         0    1.0000         0         0         0         0         0         0   -0.9142    0.1592
    4.0000    1.0000         0         0         0         0         0         0    0.0534   -0.2597
    5.0000    1.0000         0         0         0         0         0         0   -0.3033   -0.1234
    5.0000    1.0000    1.0000         0         0         0         0         0   -0.9738   -0.1375
    4.0000    1.0000    1.0000         0         0         0         0         0   -0.9142   -0.1629
    1.0000    1.0000         0         0         0         0         0         0    0.0332    0.0342
    4.0000    1.0000    1.0000         0         0         0    1.0000         0    0.0332   -0.3336
    3.0000    1.0000    1.0000         0         0         0    1.0000         0    0.5108   -0.4263
    3.0000    1.0000         0         0         0         0         0         0    0.5108   -0.3498
    4.0000    1.0000         0         0    1.0000         0         0         0    0.8863   -0.4911
    2.0000    1.0000         0         0         0         0         0         0   -0.3621   -0.2284
